id,continent,gadm_level_0,gadm_level_1,gadm_level_2,region_custom,region_detail,iso_2,iso_3,taxa,kingdom,phylum,class,order,family,source_name,source_link,language,year
23,Europe,Austria,,,,,AT,AUT,Orthoptera,Animalia,Arthropoda,Insecta,Orthoptera,,Rote Liste der Heuschrecken (Orthoptera) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_orthoptera_2005.xlsx,Deutsch,2005
24,Europe,Austria,,,,,AT,AUT,Malacostraca,Animalia,Arthropoda,Malacostraca,,,Rote Liste der Flusskrebse (Decapoda) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_flusskrebse_2009.xlsx,Deutsch,2009
25,Europe,Austria,,,,,AT,AUT,Bombus Spp.,Animalia,Arthropoda,Insecta,Hymenoptera,,Rote Liste der Hummeln (Bombus spp.) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rl_hummeln_2024.xlsx,Deutsch,2024
26,Europe,Austria,,,,,AT,AUT,Trichoptera,Animalia,Arthropoda,Insecta,Trichoptera,,"Rote Liste der Köcherfliegen Österreichs (Insecta, Trichoptera)",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_koecherfliegen_2009.xlsx,Deutsch,2009
27,Europe,Austria,,,,,AT,AUT,Odonata,Animalia,Arthropoda,Insecta,Odonata,,Libellen Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_libellen_2006.xlsx,Deutsch,2006
28,Europe,Austria,,,,,AT,AUT,Moths,Animalia,Arthropoda,Insecta,Lepidoptera,,Rote Liste ausgewählter Nachtfalter Österreichs (Lepidoptera: Hepialoidea. Cossoidea. Zygaenoidea. Thyridoidea. Lasiocampoidea. Bombycoidea. Drepanoidea. Noctuoidea),https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_nachtfalter_2007.xlsx,Deutsch,2007
29,Europe,Austria,,,,,AT,AUT,Neuroptera,Animalia,Arthropoda,Insecta,Neuroptera,,Rote Liste der Neuropterida (Netzflügler) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_neuropteren_2005.xlsx,Deutsch,2005
30,Europe,Austria,,,,,AT,AUT,Mammals,Animalia,Chordata,Mammalia,,,Rote Liste der Säugetiere Österreichs (Mammalia),https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_saeugetiere_2005.xlsx,Deutsch,2005
31,Europe,Austria,,,,,AT,AUT,Mecoptera,Animalia,Arthropoda,Insecta,Mecoptera,,Rote Liste der Mecopteren (Schnabelfliegen) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_schnabelfliegen_2005.xlsx,Deutsch,2005
32,Europe,Austria,,,,,AT,AUT,Scorpions,Animalia,Arthropoda,Arachnida,Scorpionida,,Rote Liste der Skorpione (Scorpiones) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_skorpione_2009.xlsx,Deutsch,2009
33,Europe,Austria,,,,,AT,AUT,Butterflies,Animalia,Arthropoda,Insecta,Lepidoptera,,Rote Liste der Tagschmetterlinge Österreichs (Lepidoptera: Papilionoidea & Hesperioidea),https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_tagfalter_2005.xlsx,Deutsch,2005
34,Europe,Austria,,,,,AT,AUT,Branchiopoda,Animalia,Arthropoda,Branchiopoda,,,"Large freshwater branchiopods in Austria: diversity, threats and conservational status",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_urzeitkrebse_2002.xlsx,Deutsch,2002
35,Europe,Austria,,,,,AT,AUT,Birds,Animalia,Chordata,Aves,,,Liste für den Vogelschutz prioritärer Brutvögel (1. Fassung),https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rl_voegel_2017.xlsx,Deutsch,2017
36,Europe,Austria,,,,,AT,AUT,Birds,Animalia,Chordata,Aves,,,"Rote Listen gefährdeter Tiere Österreichs. Teil 1: Säugetiere, Vögel",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_voegel_2005.xlsx,Deutsch,2005
37,Europe,Austria,,,,,AT,AUT,Heteroptera,Animalia,Arthropoda,Insecta,Diptera,Sphaeroceridae,"Rote Listen gefährdeter Tiere Österreichs. Teil 3: Flusskrebse, Köcherfliegen, Skorpione, Weberknechte, Zikaden",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rl_wanzen_2024.xlsx,Deutsch,2024
38,Europe,Austria,,,,,AT,AUT,Hydraenidae,Animalia,Arthropoda,Insecta,Coleoptera,Hydraenidae,"Rote Liste der Wanzen (Hemiptera, Heteroptera) Österreichs",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_wasserkaefer_2005.xlsx,Deutsch,2005
39,Europe,Austria,,,,,AT,AUT,Opiliones,Animalia,Arthropoda,Arachnida,Opiliones,,"Rote Listen gefährdeter Tiere Österreichs. Teil 3: Flusskrebse, Köcherfliegen, Skorpione, Weberknechte, Zikaden",https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_weberknechte_2009.xlsx,Deutsch,2009
40,Europe,Austria,,,,,AT,AUT,Mollusca,Animalia,Mollusca,,,,Rote Liste der Weichtiere (Mollusca) Österreichs,https://www.umweltbundesamt.at/fileadmin/site/themen/naturschutz/rote_liste_weichtiere_2007.xlsx,Deutsch,2007
41,Europe,Austria,,,,,AT,AUT,Auchenorrhyncha,Animalia,Arthropoda,Insecta,Hemiptera,,"Rote Listen gefährdeter Tiere Österreichs. Teil 3: Flusskrebse, Köcherfliegen, Skorpione, Weberknechte, Zikaden",https://www.umweltbundesamt.at/umweltthemen/naturschutz/rotelisten/rote-listen-gefaehrdeter-tierarten/zikaden,Deutsch,2009
42,Europe,Austria,Tirol,,,,AT,AUT,Bryophytes,Plantae,,,,,"The bryophytes of the spruce forests of South Tyrol: species list, distribution and ecology",https://www.zobodat.at/pdf/Gredleriana_015_0005-0016.pdf,English,2015
43,Europe,Austria,,,,,AT,AUT,Ferns,Plantae,Tracheophyta,Polypodiopsida,,,Red list and check­list of ferns and flow­er­ing plants in North and East Tyrol,https://www.uibk.ac.at/en/department-of-botany/aktuelles/red-list-and-checklist-of-ferns-and-flowering-plants-in-north-and-east-tyrol/,Deutsch,2023
44,Europe,Austria,,,,,AT,AUT,Magnoliophyta,Plantae,Tracheophyta,,,,Red list and check­list of ferns and flow­er­ing plants in North and East Tyrol,https://www.uibk.ac.at/en/department-of-botany/aktuelles/red-list-and-checklist-of-ferns-and-flowering-plants-in-north-and-east-tyrol/,Deutsch,2023
45,Europe,Austria,Oberösterreich,,,,AT,AUT,Vascular Plants,Plantae,Tracheophyta,,,,Katalog und Rote Liste der Gefäßpflanzen Oberösterreichs,https://www.zobodat.at/pdf/STAPFIA_0091_0001-0324.pdf,Deutsch,2009
46,Europe,Austria,Oberösterreich,,,,AT,AUT,Bryophytes,Plantae,,,,,Katalog und Rote liste der Moose oberöstereichs,https://www.zobodat.at/pdf/STAPFIA_0100_0001-0247.pdf,Deutsch,2014
47,Europe,Austria,Oberösterreich,,,,AT,AUT,Mammals,Animalia,Chordata,Mammalia,,,Rote Liste der Säugetiere Oberösterreichs,https://www.zobodat.at/pdf/BZS_Saeugetiere_OOE_0195-0215.pdf,Deutsch,2023
48,Europe,Austria,Oberösterreich,,,,AT,AUT,Vertebrates,Animalia,Chordata,,,,Liste der Wirbeltiere Oberösterreichs 8. Fassung,https://epub.jku.at/download/pdf/8293504.pdf,Deutsch,2022
49,Europe,Austria,Oberösterreich,,,,AT,AUT,Vertebrates,Animalia,Chordata,,,,Liste der Wirbeltiere Oberösterreichs 6. Fassung,https://www.researchgate.net/publication/232095302_Liste_der_Wirbeltiere_Oberosterreichs_6_Fassung_-_Beitr_Naturkunde_Oberosterreichs_21_3-53,Deutsch,2011
50,Europe,Austria,Oberösterreich,,,,AT,AUT,Vertebrates,Animalia,Chordata,,,,Liste der Wirbeltiere Oberösterreichs 5. Fassung,https://www.researchgate.net/publication/232095298_Liste_der_Wirbeltiere_Oberosterreichs_5_Fassung_-_Beitr_Naturk_Oberosterreichs_17_5-53,Deutsch,2007
51,Europe,Austria,Oberösterreich,,,,AT,AUT,Vertebrates,Animalia,Chordata,,,,Liste der Wirbeltiere Oberösterreichs 7. Fassung,https://www.researchgate.net/publication/305706001_Liste_der_Wirbeltiere_Oberosterreichs_7_Fassung,Deutsch,2016
52,Europe,Austria,Oberösterreich,,,,AT,AUT,Vertebrates,Animalia,Chordata,,,,Liste der Wirbeltiere Oberösterreichs 3. Fassung,https://www.researchgate.net/publication/232095193_Liste_der_Wirbeltiere_Oberosterreichs_3_Fassung_-_Beitr_Naturk_Oberosterreichs_4_303-335,Deutsch,1996
53,Europe,Austria,Oberösterreich,,,,AT,AUT,Charophytes,Plantae,,Charophyceae,Charales,,Katalog und Rote Liste der Armleuchteralgen (Characeae) Oberösterreichs,https://www.land-oberoesterreich.gv.at/files/naturschutz_db/STAPFIA_0095_0110-0140.pdf,Deutsch,2011
54,Europe,Austria,Oberösterreich,,,,AT,AUT,Odonata,Animalia,Arthropoda,Insecta,Odonata,,VERBREITUNGSÜBERSICHT UND EINE VORLÄUFIGE ROTE LISTE DER LIBELLEN OBERÖSTERREICHS,https://www.zobodat.at/pdf/NKJB_40_41_0307-0388.pdf,Deutsch,1994
55,Europe,Austria,Oberösterreich,,,,AT,AUT,Gastropoda,Animalia,Mollusca,Gastropoda,,,Die Gastropodenfauna der Staninger Leiten in Steyr,https://www.zobodat.at/pdf/BNO_0009_0729-0737.pdf,Deutsch,2000
56,Europe,Austria,Oberösterreich,,,,AT,AUT,Spiders,Animalia,Arthropoda,Arachnida,Araneae,,Die Spinnenfauna (Arachnida: Araneae) einer Niedermoorwiese am Gleinkersee (Österreich: Oberösterreich: Roßleithen),https://www.zobodat.at/pdf/BNO_0017_0367-0375.pdf,Deutsch,2007
57,Europe,Austria,Oberösterreich,,,,AT,AUT,Grasshoppers,Animalia,Arthropoda,Insecta,Orthoptera,,Die Heuschreckenfauna ausgewählter Halbtrockenrasen des Strudengaus und des angrenzenden unteren Mühlviertels (Oberösterreich),https://www.zobodat.at/pdf/BNO_0014_0027-0037.pdf,Deutsch,2005
58,Europe,Austria,Oberösterreich,,,,AT,AUT,Gastropoda,Animalia,Mollusca,Gastropoda,,,Artenliste der Weichtiere (Mollusca: Gastropoda und Bivalvia) des Bundeslandes Oberösterreich mit Anmerkungen zur Gefährdung,https://web.archive.org/web/20180410205950id_/http://www.zobodat.at/pdf/BNO_0021_0405-0466.pdf,Deutsch,2011
